name,website,place_id,city,state,status,phones,emails,services,raw_services,service_areas,trust_signals,socials,has_photo_gallery,has_contact_form,title,meta_description,logo_url
Southside Concrete Polishing,https://ssconcretepolishing.com/?utm_source=gmb,ChIJuxAcxhZawokRiSmKOnoFj3o,New York,NY,ok,(917) 746-1992; (646) 760-4442,,commercial; concrete_polish; concrete_repair; concrete_stain; epoxy_flake; metallic_epoxy; polyaspartic; residential,Commercial Concrete Polishing; Commercial Epoxy Flooring; Concrete Overlays; Concrete Polishing & Epoxy Flooring in Brooklyn; Concrete Resurfacing; Concrete Waterproofing; Decorative Concrete; Industrial Concrete Polishing; Self-Leveling Concrete; Stained Concrete,"Bronx, NY; Brooklyn, NY; Leveling Install Brooklyn, NY; Manhattan, NY; New York, NY; Prep Kitchen Manhattan, NY; Room Coating Manhattan, NY; Staten Island, NY; Urethane Cement Manhattan, NY","{""licensed"": true, ""insured"": true, ""warranty"": true, ""family_owned"": true, ""free_estimates"": true, ""financing"": false, ""years_in_business"": 80}",{},True,True,NYC's #1 Epoxy Flooring & Polished Concrete Contractor,"Commercial epoxy flooring & polished concrete in NYC and NJ. 500+ projects completed, 10+ services, all 5 NYC boroughs. Free estimates. Call 917-746-1992.",https://ssconcretepolishing.com/images/logo/southside-logo.png
Concrete Makeover,https://www.theconcretemakeover.com/,ChIJpabb7sKzw4kRxHIHfEwtVXc,New York,NY,ok,(732) 259-5932,,commercial; concrete_polish; concrete_repair; concrete_stain; epoxy_solid; metallic_epoxy; polyaspartic; pool_deck; residential,Commercial Flooring Projects; Concrete Resurfacing; Epoxy Flooring; Garage Floor Coating; Krispy Kreme Polished Concrete with Stain and Saw Cuts; Polished Concrete; Warehouse Floor Coatings; ⭐ Commercial Flooring Hub,"Basement Morris Plains, NJ; CT Based in Clark, NJ; Clark, NJ; Concrete Makeover serves Newark, NJ; Contractor Serving Edison, NJ; Contractor Serving Elizabeth, NJ; Contractor Serving Jersey City, NJ; Contractor Serving Newark, NJ; Contractor Serving Woodbridge, NJ; County College Bergen County, NJ; Decorative Epoxy in Jersey City, NJ; Edison in Clark, NJ; Edison, NJ; Elizabeth, NJ; Epoxy Coating in Linden, NJ; Epoxy Flooring in Edison, NJ; Epoxy Flooring in Elizabeth, NJ; Epoxy Flooring in Jersey City, NJ; Epoxy Flooring in Newark, NJ; Epoxy Flooring in Woodbridge, NJ; Floor Coatings in Elizabeth, NJ; Floor Coatings in Newark, NJ; Hazlet, NJ; Jersey City, NJ; Linden, NJ; Metallic Epoxy in North Bergen, NJ; Morris Plains, NJ; Mountainside, NJ; NJ, NY; North Bergen, NJ; Our Clark, NJ; Polished Concrete Linden, NJ; Polished Concrete in Edison, NJ; Resistant Overlay Hazlet, NJ; Restaurant in Mountainside, NJ; Seal Solid Color Clark, NJ; Shields against weather, UV; Slate Epoxy in Morris Plains, NJ; Tune Performance Shop in Linden, NJ; Woodbridge Township, NJ","{""licensed"": true, ""insured"": true, ""warranty"": true, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": 15}",{},True,False,NJ Epoxy & Concrete Contractor | The Concrete Makeover,"NJ's commercial concrete contractor since 2009. Polished concrete, industrial epoxy, warehouse floors & hangars. 15-yr warranty. Free on-site quote.",https://www.theconcretemakeover.com/images/logo_999b9eb3.webp
Concrete Polishing New York,http://concretepolishingny.com/,ChIJPWn_f9R6wokRZo8k8lkIb0Y,New York,NY,unreachable,,,,,,{},{},False,False,,,
Top Epoxy Flooring,https://topepoxyflooring.com/,ChIJrTFrh2SZwoARxDq4dx3-jh0,Los Angeles,CA,ok,(094) 509-1520; (818) 945-0915,,commercial; concrete_polish; concrete_repair; concrete_stain; epoxy_flake; metallic_epoxy; polyaspartic; pool_deck; residential,Concrete Coating in Los Angeles CA; Garage Flooring,"Tarzana, CA","{""licensed"": false, ""insured"": false, ""warranty"": true, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": 25}","{""facebook"": ""https://www.facebook.com/topepoxyflooring"", ""instagram"": ""https://www.instagram.com/topepoxyzone""}",True,True,"Top Epoxy Flooring In Los Angeles CA - Commercial, Residential And Industrial","Top Epoxy Flooring In Los Angeles CA specializes in epoxy floor coating for residential, commercial and industrial cocrete floors, decorative concrete solutions and much more.",https://topepoxyflooring.com/wp-content/uploads/2019/10/cropped-Top-Epoxy-Flooring-180x180.png
Top Epoxy Floors,http://topepoxyfloors.com/,ChIJ2xVrwfDBEI0Rf7MR1nOOWVo,Los Angeles,CA,ok,(818) 000-0000; (818) 954-0499; (888) 999-4319,,commercial; epoxy_solid; metallic_epoxy; polyaspartic; polyurea; pool_deck; residential,FLOOR TYPES; TOPEPOXY FLOORS,"Los Angeles, CA; Topcoat with a durable, UV","{""licensed"": false, ""insured"": false, ""warranty"": true, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": null}","{""facebook"": ""https://www.facebook.com/topepoxyflooring"", ""instagram"": ""https://www.instagram.com/topepoxyzone/""}",True,False,Top Epoxy Floors | Garage Flooring & Concrete Coatings | Los Angeles CA,"Discover top-tier epoxy floor systems and concrete coatings in Southern California. Fast, durable, and eco-friendly installations that transform garages, driveways, industrial spaces, and more. Free estimate today.",http://topepoxyfloors.com/assets/images/top20epoxy20logo-305x160.png
"SunPro Epoxy Flooring Concrete & Garage Floors Painting, Coating & Polishing",http://sunproepoxyflooring.com/,ChIJ_yGBYXrbwoARn-mB6480cYk,Los Angeles,CA,ok,(626) 765-1467; (888) 759-1271; (909) 347-0305; (844) 584-7169; (818) 798-3452; (844) 590-0758,,concrete_polish; concrete_stain; countertops; epoxy_flake; metallic_epoxy; residential,Epoxy Flooring,"ARCADIA, CA; CHINO HILLS, CA; GLENDALE, CA; Inland Empire, IE; Koreatown, LA; ORANGE, CA; Orange County, OC","{""licensed"": false, ""insured"": false, ""warranty"": false, ""family_owned"": false, ""free_estimates"": false, ""financing"": false, ""years_in_business"": 22}",{},True,True,"SunPro Epoxy Flooring Concrete and Garage Floors Painting, Coating and Polishing","SunPro Epoxy Flooring Concrete and Garage Floors Painting, Coating and Polishing",http://sunproepoxyflooring.com/templates/img/logo.png?20
Epoxy Floor Pros,http://www.epoxyfloorpros.us/,ChIJkfSVF79q1ikRKLgN-Oej_7s,Los Angeles,CA,ok,(949) 763-4233,,commercial; concrete_polish; concrete_stain; epoxy_flake; pool_deck; residential,"#1 Epoxy Flooring Company in Southern California; Commercial Epoxy Flooring; Concrete Polishing; Concrete Staining; Copyright 2026 © Epoxy Floor Pros; Epoxy Flooring & Concrete Coating Services We Offer; Garage Floor Coating; Get a Free Quotefor Epoxy Flooring in Southern California; How We Install Epoxy Floors That Last —; Our Epoxy Floor Installations; Pool Deck Coatings; Residential Epoxy Flooring; See Our Epoxy Transformations in Action; See The Epoxy Flooring We've Done; Transform Your Concrete Into Beautiful, Durable Surfaces; What Our Clients Say AboutEpoxy Floor Pros; What Our Orange County Customers Say AboutEpoxy Floor Pros","Proudly Serving Orange County, CA","{""licensed"": true, ""insured"": true, ""warranty"": true, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": 15}","{""facebook"": ""https://www.facebook.com/epoxyfloorpros.us"", ""instagram"": ""https://www.instagram.com/epoxyfloorpros.us/""}",True,False,Epoxy Floor Pros in Orange County CA | Garage & Concrete Coatings,"Top-rated epoxy flooring company in Orange County, CA. We install durable, beautiful coatings for garages, patios & driveways. Free quotes. 1-day install.",https://images.leadconnectorhq.com/image/f_webp/q_80/r_1200/u_https://assets.cdn.filesafe.space/N2yn1NQECMTcLVeIOV1k/media/67f8082bb95d202a93a1d63c.png
All Star Epoxy And Paint,https://allstarepoxyandpaint.com/,ChIJz5g0vmYTuKMRkc52OZuzoug,Los Angeles,CA,ok,(661) 347-2834; (661) 606-1488,,epoxy_flake; epoxy_solid; metallic_epoxy; polyaspartic; pool_deck; residential,Epoxy Flooring; Garage Flooring; Outdoor Concrete Coatings,"Beverly Hills Silver Lake, CA; Glendale, CA","{""licensed"": true, ""insured"": false, ""warranty"": true, ""family_owned"": true, ""free_estimates"": true, ""financing"": false, ""years_in_business"": 10}","{""facebook"": ""https://www.facebook.com/people/All-Star-Epoxy-And-Paint/100091075000397/"", ""instagram"": ""https://www.instagram.com/Allstarepoxyandpaint/""}",True,False,Epoxy Flooring Los Angeles | All Star Epoxy & Paint CA,"Professional epoxy flooring for garages, patios & walkways in Los Angeles. 8-year warranty, industrial quality. Get your free quote today! (661) 606-1488",https://images.leadconnectorhq.com/image/f_webp/q_80/r_1200/u_https://assets.cdn.filesafe.space/S5VPpvrosxKN5myyhzaT/media/489ff0c0-e275-4d0c-be19-a4e4313d07db.png
Pearl Epoxy Flooring,https://www.pearlepoxyflooring.com/,ChIJ64UFRBHZwoAR3RJg06yUz90,Los Angeles,CA,ok,(833) 732-7563; (818) 795-1664; (833) 732-7663; (480) 809-5976; (833) 376-9963; (833) 732-7548,,commercial; concrete_polish; concrete_stain; metallic_epoxy; residential,CONCRETE STAINING | CONCRETE POLISHING SERVICES; CUSTOM EPOXY FLOORING SERVICES; EPOXY GARAGE FLOOR INSTALLERS; METALLIC EPOXY FLOORING SERVICES; Pearl Epoxy Flooring; pearlepoxyfloors,"Altadena, CA; Baldwin Park, CA; Contact CA Locations Post Falls, ID; Los Angeles, CA; Monica Beverly Hills Malibu, CA; N Isabel St Ste B Glendale, CA; N Isabel St. Ste B Glendale, CA; PHOENIX, AZ; POST FALLS, ID; Unlike most of our competitors, WE","{""licensed"": true, ""insured"": true, ""warranty"": true, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": null}","{""facebook"": ""https://www.facebook.com/pearlepoxyflooring"", ""x"": ""https://twitter.com/pearlepoxy"", ""linkedin"": ""https://www.linkedin.com/company/pearl-epoxy-flooring/"", ""instagram"": ""https://www.instagram.com/pearlepoxyfloors/"", ""youtube"": ""https://www.youtube.com/channel/UCNcQY6-SNkQo6rGB1U07Biw""}",True,True,Epoxy Flooring Installation Company & Contractors | Pearl Epoxy Flooring,"Industrial, Residential, Retail & Commercial Epoxy Flooring Installation & Contractors. Voted Best In Los Angeles. Contact us to get your Concrete Floors, Epoxy Metallic or Garage Epoxy Coatings.",https://www.pearlepoxyflooring.com/wp-content/uploads/2021/07/Pearl-Epoxy-Flooring-plain-TRANS-150x150.png
Epoxy Spot - a Chromology Calofornia USA,https://www.epoxyspot.com/,ChIJ0RLuHVPZwoARLovkkQ3Tf_o,Los Angeles,CA,ok,(060) 099-9020; (213) 600-9990,,epoxy_solid; polyaspartic,Epoxy TintEpoxy Tint$31.00,"Duarte, CA","{""licensed"": false, ""insured"": false, ""warranty"": false, ""family_owned"": false, ""free_estimates"": false, ""financing"": false, ""years_in_business"": null}",{},False,True,Epoxy Spot,,
Garage Floors 1 Day,http://www.garagefloors1day.com/,ChIJ2Z7m17Lp3IARiTCeNHqz1ew,Los Angeles,CA,unreachable,,,,,,{},{},False,False,,,
Aaron's Pro Flooring,https://aaronsproflooring.com/,ChIJJ3GuKkm5woARQlRmruAkF-E,Los Angeles,CA,ok,(888) 525-7720,,residential,Epoxy Garage Floor Coating; Hardwood Floor Installation; Hardwood Floor Refinishing; Laminate Floor Installation,"Cienega Boulevard Los Angeles, CA; Los Angeles, CA","{""licensed"": true, ""insured"": true, ""warranty"": true, ""family_owned"": false, ""free_estimates"": false, ""financing"": true, ""years_in_business"": 20}",{},False,False,"Flooring Installation Contractor in Los Angeles | Hardwood, LVP, Laminate & Epoxy",,https://images.leadconnectorhq.com/image/f_webp/q_80/r_1200/u_https://assets.cdn.filesafe.space/b7sjNVLI2hqsryIb6sdV/media/698e5cab211b656b99ac6560.png
Expert Surfacing,https://expert-surfacing.com/,ChIJF0DjDxW-woARw51X32BiMzI,Los Angeles,CA,ok,(818) 540-5235; (323) 329-7068; (818) 592-6716; (714) 836-6322; (714) 836-5547; (415) 653-5391; (702) 383-5136,,concrete_polish; polyaspartic; pool_deck; residential,Color ChartEpoxyMicro Cement; Concrete Polishing; DECK WATERPROOF COATING; EPOXY & POLYSPARADIC COATING; Epoxy; Epoxy Coating Systems; Epoxy Flooring: The Gold Standard for Garage Safety; Epoxy Garage Flooring; MICRO CEMENT STONE COATING; POLISHED CONCRETE; The Benefits of Epoxy Flooring: Why It’s a Popular Choice; Traffic Coating,"Fruitland Dr Studio City, CA","{""licensed"": false, ""insured"": false, ""warranty"": true, ""family_owned"": false, ""free_estimates"": true, ""financing"": false, ""years_in_business"": null}","{""instagram"": ""https://www.instagram.com/expertsurfacing/"", ""linkedin"": ""https://www.linkedin.com/in/itay-haddad-60907916a/"", ""facebook"": ""https://www.facebook.com/profile.php?id=100088052861053"", ""youtube"": ""https://www.youtube.com/channel/UCC4-Ejvt-U_YPeit27JwiKQ""}",False,True,Epoxy flooring contractor in Los Angeles CA EXPERT SURFACING,"Epoxy coating and polished concrete floors in Los Angeles CA EXPERTSURFACING (323) 329-7068 Contact Us SERVING LOS ANGELES, VENTURA AND ORANGE COUNTIES",https://www.expert-surfacing.com/wp-content/uploads/2022/09/expert-surfacing_logo-e1669793563106.jpg
"Concrete Coating Specialists, Inc.",https://www.orangecountydecorativeconcrete.com/,ChIJyd-4acjW3IARCxswgG4NAVE,Los Angeles,CA,ok,(714) 563-4141; (323) 319-5230; (818) 332-4803,,concrete_repair; concrete_stain; polyaspartic; polyurea; pool_deck; residential,Commercial Concrete; Concrete Coating Removal; Concrete Driveways; Concrete Patios; Concrete Repair; Concrete Resurfacing; Concrete Sealing; Decorative Concrete; Epoxy Flooring; Garage Floors; Interior Floors; Polyurea Polyaspartic Coating; Stained Concrete; Stamped Concrete Overlays; Stamped Concrete Rejuvenation,"Aliso Viejo, CA; Anaheim, CA; Arcadia, CA; Brea, CA; Canyon County, CA; Castaic, CA; Claremont, CA; North Grove Suite G Anaheim, CA; Orange County, CA","{""licensed"": false, ""insured"": false, ""warranty"": true, ""family_owned"": true, ""free_estimates"": true, ""financing"": false, ""years_in_business"": 20}","{""facebook"": ""https://www.facebook.com/ConcreteCoatingsOrangeCounty"", ""x"": ""https://x.com/sunorangecounty"", ""youtube"": ""https://www.youtube.com/c/Orangecountydecorativeconcretecoatings"", ""linkedin"": ""https://www.linkedin.com/company/concrete-coating-specialists-inc.---orange-county"", ""instagram"": ""https://www.instagram.com/concretecoatingspecialistsOC/""}",True,False,"Decorative Concrete Orange County | Stamped, Stained, Epoxy","A+ Local Decorative Concrete Contractor. Expert in epoxy, staining, stamped repair, etc. Call (714) 563-4141 for FREE Quote!",https://www.orangecountydecorativeconcrete.com/wp-content/uploads/2020/08/oc_logo.png
LA Concrete Works,https://www.laconcreteworks.com/,ChIJnXcKmMadwoARSRBiiu1Bh_I,Los Angeles,CA,unreachable,,,,,,{},{},False,False,,,
Floor Epoxy in Chicago,http://www.epoxyman.com/,ChIJS4PD1F9SDogRdoj8Q8-MdYU,Chicago,IL,ok,(630) 229-1600; (561) 223-9575,,commercial; epoxy_flake; metallic_epoxy; residential,Coating Choices; EPOXYMAN; Heavy Duty Floor Systems,"Anish Howthorn Woods, IL; Dan Schamburg, IL; Glen Ellyn, IL; Gorgeous. Love it. Jay Delrey, FL; Pat Westmont, IL","{""licensed"": false, ""insured"": false, ""warranty"": false, ""family_owned"": false, ""free_estimates"": false, ""financing"": false, ""years_in_business"": 3}","{""facebook"": ""http://www.facebook.com/wix"", ""x"": ""http://www.twitter.com/wix""}",True,True,"Epoxy Man | glen elly garage epoxy | 1198 Royal Glen Drive, Glen Ellyn, IL, USA",best garage epoxy man is a flooring contractor company servicing all glen ellyn specializing in heavy duty epoxy flooring systems,https://static.wixstatic.com/media/b6f172a029334f0481fce3e473d9453b.jpg/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/b6f172a029334f0481fce3e473d9453b.jpg
Creative Coatings,https://www.creativecoatings.us/,ChIJR80ZAyqLDogRev3iLxAMM6Y,Chicago,IL,ok,(708) 856-1894,,polyaspartic; residential,,"Also, CC; Creative Coatings New Lenox, IL","{""licensed"": false, ""insured"": true, ""warranty"": false, ""family_owned"": false, ""free_estimates"": false, ""financing"": false, ""years_in_business"": 20}","{""facebook"": ""https://www.facebook.com/creativeepoxycoatings""}",True,True,"Creative Coatings – Seamless, Slip resistant epoxy floor coverings for your garage and basement",,https://www.creativecoatings.us/wp-content/uploads/2020/04/cropped-CreativeCoatings-Logo-Phone.jpg
